project,date,arr. time,dep. time,sch. dur.,cancelled,cancelled on time,cancelled on
20230093H,02/03/25,1100,1300,120,FALSE,,-
20230093H,02/03/25,1430,1630,120,FALSE,,-
20230093H,02/04/25,1011,1245,150,FALSE,,-
20230093H,02/04/25,1345,1615,150,FALSE,,-
20230093H,02/05/25,1015,1245,150,FALSE,,-
20230093H,02/05/25,1345,1615,150,FALSE,,-
20230093H,02/06/25,1015,1245,150,FALSE,,-
20230093H,02/06/25,1345,1615,150,FALSE,,-
20230093H,02/07/25,1030,1145,75,FALSE,,-
20230093H,02/07/25,1345,1500,75,FALSE,,-
20240100H,02/10/25,0920,1925,480,FALSE,,-
20240100H,02/11/25,1025,1123,60,FALSE,,-
20240100H,02/12/25,0900,1900,480,FALSE,,-
20240100H,02/13/25,0944,1044,60,FALSE,,-
20240100H,02/14/25,0900,1900,480,FALSE,,-
20240100H,02/15/25,0945,1045,60,FALSE,,-
20240100H,02/17/25,0915,1930,480,FALSE,,-
20240100H,02/18/25,1030,1130,60,FALSE,,-
2022-0005,02/18/25,1430,1645,90,FALSE,,-
20240100H,02/19/25,0900,1900,480,FALSE,,-
20240100H,02/20/25,0930,1030,60,FALSE,,-
20240100H,02/21/25,0900,1900,480,FALSE,,-
20240100H,02/22/25,1000,1100,60,FALSE,,-
20240100H,02/24/25,0,0,480,TRUE,TRUE,2/24 @ 0745
20240100H,02/25/25,0,0,120,TRUE,TRUE,2/24 @ 0745
2022-0005,02/25/25,1430,1630,90,FALSE,,-
20240100H,02/26/25,0830,1830,480,FALSE,,-
20240100H,02/27/25,0935,1045,120,FALSE,,-
20240100H,02/28/25,0,0,480,TRUE,TRUE,2/26 @ 1300
