project,date,arr. time,dep. time,sch. dur.,cancelled,cancelled on time,cancelled on,scan duration,charged time,direct scan fee
2022-0010,07/01/25,815,1000,105,False,,-,105.0,1.75,476.0
20240100H,07/01/25,1000,1100,60,False,,-,60.0,1.0,272.0
2022-0010,07/03/25,1215,1345,105,False,,-,90.0,1.75,476.0
20250044H,07/03/25,1630,1750,90,False,,-,90.0,1.5,408.0
20240100H,07/07/25,900,1900,480,False,,-,600.0,8.0,2176.0
20240100H,07/08/25,1000,1100,60,False,,-,60.0,1.0,272.0
20250044H,07/08/25,1600,1730,90,False,,-,90.0,1.5,408.0
20250044H,07/09/25,1400,1530,90,False,,-,90.0,1.5,408.0
2024-663,07/09/25,1630,1800,60,False,,-,90.0,1.5,408.0
2024-663,07/10/25,1015,1115,60,False,,-,60.0,1.0,272.0
20240100H,07/14/25,900,1900,480,False,,-,600.0,8.0,2176.0
20240100H,07/15/25,1000,1100,60,False,,-,60.0,1.0,272.0
20240100H,07/16/25,900,1900,480,False,,-,600.0,8.0,2176.0
20240100H,07/17/25,1000,1100,60,False,,-,60.0,1.0,272.0
20240100H,07/18/25,800,1900,480,False,,-,660.0,8.0,2176.0
20240100H,07/19/25,1000,1100,60,False,,-,60.0,1.0,272.0
20240100H,07/21/25,845,1845,480,False,,-,600.0,8.0,2176.0
20240100H,07/22/25,945,1045,60,False,,-,60.0,1.0,272.0
20250044H,07/23/25,830,935,60,False,,-,75.0,1.25,340.0
20240100H,07/23/25,945,2000,480,False,,-,615.0,8.0,2176.0
20240100H,07/24/25,1030,1130,60,False,,-,60.0,1.0,272.0
20250044H,07/24/25,1150,1315,90,False,,-,90.0,1.5,408.0
20250044H,07/25/25,1345,1500,60,False,,-,75.0,1.25,340.0
20240100H,07/28/25,900,1900,480,False,,-,600.0,8.0,2176.0
20240100H,07/29/25,945,1045,60,False,,-,60.0,1.0,272.0
2022-0005,07/29/25,1130,1300,90,False,,-,90.0,1.5,408.0
20240100H,07/30/25,900,1900,480,False,,-,600.0,8.0,2176.0
20240100H,07/31/25,1000,1100,60,False,,-,60.0,1.0,272.0
2022-0005,07/31/25,1200,1330,90,False,,-,90.0,1.5,408.0
