project,date,arr. time,dep. time,sch. dur.,cancelled,cancelled on time,cancelled on,scan duration,charged time,direct scan fee
20250044H,08/02/25,900,1030,90,False,,-,90.0,1.5,408.0
2022-0005,08/04/25,1300,1500,120,False,,-,120.0,2.0,544.0
2024-663,08/04/25,915,1030,60,False,,-,75.0,1.25,340.0
20250044H,08/08/25,1000,1100,90,False,,-,60.0,1.5,408.0
2024-663,08/08/25,1645,1745,60,False,,-,60.0,1.0,272.0
20230093H,08/11/25,1052,1258,105,False,,-,135.0,2.25,612.0
20230093H,08/12/25,1015,1300,150,False,,-,165.0,2.75,748.0
20230093H,08/13/25,1016,1245,150,False,,-,150.0,2.5,680.0
20230093H,08/14/25,1025,1300,150,False,,-,165.0,2.75,748.0
20250044H,08/14/25,1400,1600,90,False,,-,120.0,2.0,544.0
20230093H,08/15/25,1015,1130,75,False,,-,75.0,1.25,340.0
20230093H,08/18/25,1015,1200,105,False,,-,105.0,1.75,476.0
20230093H,08/19/25,915,1145,150,False,,-,150.0,2.5,680.0
20230093H,08/20/25,845,1115,150,False,,-,150.0,2.5,680.0
20230093H,08/21/25,920,1200,150,False,,-,165.0,2.75,748.0
20250044H,08/21/25,1400,1515,150,False,,-,75.0,2.5,680.0
20230093H,08/22/25,915,1030,75,False,,-,75.0,1.25,340.0
20230093H,08/25/25,1145,1300,105,True,False,no show - cx @1145 8/25,75.0,1.75,476.0
20230093H,08/26/25,915,1030,150,True,False,no show - cx @1145 8/25,75.0,2.5,680.0
