project,date,arr. time,dep. time,sch. dur.,cancelled,cancelled on time,cancelled on
2022-0010,07/01/25,0815,1000,105,FALSE,,-
20240100H,07/01/25,1000,1100,60,FALSE,,-
2022-0010,07/03/25,1215,1345,105,FALSE,,-
20250044H,07/03/25,1630,1750,90,FALSE,,-
20240100H,07/07/25,0900,1900,480,FALSE,,-
20240100H,07/08/25,1000,1100,60,FALSE,,-
20250044H,07/08/25,1600,1730,90,FALSE,,-
20250044H,07/09/25,1400,1530,90,FALSE,,-
2024-663,07/09/25,1630,1800,60,FALSE,,-
2024-663,07/10/25,1015,1115,60,FALSE,,-
20240100H,07/14/25,0900,1900,480,FALSE,,-
20240100H,07/15/25,1000,1100,60,FALSE,,-
20240100H,07/16/25,0900,1900,480,FALSE,,-
20240100H,07/17/25,1000,1100,60,FALSE,,-
20240100H,07/18/25,0800,1900,480,FALSE,,-
20240100H,07/19/25,1000,1100,60,FALSE,,-
20240100H,07/21/25,0845,1845,480,FALSE,,-
20240100H,07/22/25,0945,1045,60,FALSE,,-
20250044H,07/23/25,0830,0935,60,FALSE,,-
20240100H,07/23/25,0945,2000,480,FALSE,,-
20240100H,07/24/25,1030,1130,60,FALSE,,-
20250044H,07/24/25,1150,1315,90,FALSE,,-
20250044H,07/25/25,1345,1500,60,FALSE,,-
20240100H,07/28/25,0900,1900,480,FALSE,,-
20240100H,07/29/25,0945,1045,60,FALSE,,-
2022-0005,07/29/25,1130,1300,90,FALSE,,-
20240100H,07/30/25,0900,1900,480,FALSE,,-
20240100H,07/31/25,1000,1100,60,FALSE,,-
2022-0005,07/31/25,1200,1330,90,FALSE,,-
