project,date,arr. time,dep. time,sch. dur.,cancelled,cancelled on time,cancelled on,scan duration,charged time,direct scan fee
20240100H,04/01/25,945,1030,60,False,,-,45.0,1.0,272.0
20240100H,04/07/25,900,1900,480,False,,-,600.0,8.0,2176.0
20240100H,04/08/25,945,1045,60,False,,-,60.0,1.0,272.0
20240100H,04/11/25,900,1900,480,False,,-,600.0,8.0,2176.0
20240100H,04/12/25,945,1045,60,False,,-,60.0,1.0,272.0
20240100H,04/14/25,900,1900,480,False,,-,600.0,8.0,2176.0
20240100H,04/15/25,1000,1100,60,False,,-,60.0,1.0,272.0
2024-663,04/15/25,1130,1230,60,False,,-,60.0,1.0,272.0
2022-0010,04/16/25,1500,1645,105,False,,-,105.0,1.75,476.0
2022-0010,04/18/25,730,900,105,False,,-,90.0,1.75,476.0
2024-663,04/21/25,1124,1255,60,False,,-,105.0,1.75,476.0
20240100H,04/23/25,920,1945,480,False,,-,630.0,8.0,2176.0
20240100H,04/24/25,1040,1140,60,False,,-,60.0,1.0,272.0
20240100H,04/25/25,900,1900,480,False,,-,600.0,8.0,2176.0
20240100H,04/26/25,945,1045,60,False,,-,60.0,1.0,272.0
