project,date,arr. time,dep. time,sch. dur.,cancelled,cancelled on time,cancelled on,scan duration,charged time,direct scan fee
20250044H,09/05/25,900,1015,60,False,,-,75.0,1.25,340.0
20230093H,09/08/25,945,1150,105,False,,-,135.0,2.25,612.0
20230093H,09/08/25,1315,1430,105,False,,-,75.0,1.75,476.0
20230093H,09/09/25,915,1145,150,False,,-,150.0,2.5,680.0
20230093H,09/09/25,0,0,150,True,False,9/8 @ 1530,0.0,2.5,680.0
20230093H,09/10/25,900,1130,150,False,,-,150.0,2.5,680.0
2024-663,09/10/25,1335,1445,60,False,,-,75.0,1.25,340.0
20230093H,09/11/25,915,1145,150,False,,-,150.0,2.5,680.0
20230093H,09/12/25,900,1015,75,False,,-,75.0,1.25,340.0
20250044H,09/13/25,815,930,60,False,,-,75.0,1.25,340.0
2024-663,09/15/25,1130,1240,60,False,,-,75.0,1.25,340.0
2022-0010,09/16/25,845,1015,90,False,,-,90.0,1.5,408.0
20250044H,09/17/25,855,1000,60,False,,-,75.0,1.25,340.0
2024-663,09/20/25,935,1045,60,False,,-,75.0,1.25,340.0
2022-0010,09/22/25,830,945,90,False,,-,75.0,1.5,408.0
20230093H,09/22/25,0,0,105,True,False,9/22 @ 1230,0.0,1.75,476.0
20230093H,09/22/25,1500,1700,105,False,,-,120.0,2.0,544.0
20250044H,09/23/25,900,1000,105,False,,-,60.0,1.75,476.0
20230093H,09/23/25,0,0,150,True,False,9/22 @ 1230,0.0,2.5,680.0
20230093H,09/23/25,1430,1700,150,False,,-,150.0,2.5,680.0
20230093H,09/24/25,830,1100,150,False,,-,150.0,2.5,680.0
20230093H,09/25/25,1445,1700,150,False,,-,135.0,2.5,680.0
2024-663,09/26/25,900,1000,60,False,,-,60.0,1.0,272.0
20230093H,09/26/25,1400,1515,75,False,,-,75.0,1.25,340.0
2024-663,09/29/25,930,1030,105,False,,-,60.0,1.75,476.0
20230093H,09/29/25,1140,1330,105,False,,-,120.0,2.0,544.0
20230093H,09/29/25,0,0,105,True,False,9/29 @ 1400,0.0,1.75,476.0
2024-663,09/30/25,930,1030,60,False,,-,60.0,1.0,272.0
20230093H,09/30/25,1115,1340,150,False,,-,150.0,2.5,680.0
