project,date,arr. time,dep. time,sch. dur.,cancelled,cancelled on time,cancelled on
20240100H,04/01/25,0945,1030,60,FALSE,,-
20240100H,04/07/25,0900,1900,480,FALSE,,-
20240100H,04/08/25,0945,1045,60,FALSE,,-
20240100H,04/11/25,0900,1900,480,FALSE,,-
20240100H,04/12/25,0945,1045,60,FALSE,,-
20240100H,04/14/25,0900,1900,480,FALSE,,-
20240100H,04/15/25,1000,1100,60,FALSE,,-
2024-663,04/15/25,1130,1230,60,FALSE,,-
2022-0010,04/16/25,1500,1645,105,FALSE,,-
2022-0010,04/18/25,0730,0900,105,FALSE,,-
2024-663,04/21/25,1124,1255,60,FALSE,,-
20240100H,04/23/25,0920,1945,480,FALSE,,-
20240100H,04/24/25,1040,1140,60,FALSE,,-
20240100H,04/25/25,0900,1900,480,FALSE,,-
20240100H,04/26/25,0945,1045,60,FALSE,,-
