project,date,arr. time,dep. time,sch. dur.,cancelled,cancelled on time,cancelled on
20240100H,06/06/25,0900,1900,480,FALSE,,-
20240100H,06/07/25,1000,1100,60,FALSE,,-
20230093H,06/09/25,1000,1215,105,FALSE,,-
2022-0005,06/09/25,0750,0920,105,FALSE,,-
20230093H,06/10/25,0930,1200,150,FALSE,,-
2022-0005,06/10/25,1200,1345,105,FALSE,,-
20230093H,06/11/25,0915,1145,150,FALSE,,-
20230093H,06/12/25,0915,1145,150,FALSE,,-
2022-0005,06/12/25,1145,1245,105,TRUE,TRUE,task error - WSU issue
20230093H,06/13/25,0915,1030,75,FALSE,,-
20240100H,06/16/25,0915,1900,480,FALSE,,-
20240100H,06/17/25,1015,1115,60,FALSE,,-
20250044H,06/17/25,1245,1345,60,FALSE,,-
20230093H,06/23/25,1000,1215,105,FALSE,,-
20230093H,06/24/25,0915,1145,150,FALSE,,-
20230093H,06/25/25,0915,1150,150,FALSE,,-
20250044H,06/25/25,1510,1815,120,FALSE,,-
20230093H,06/26/25,0915,1150,150,FALSE,,-
2022-0005,06/26/25,1245,1430,105,FALSE,,-
20230093H,06/27/25,0900,1020,75,FALSE,,-
20250044H,06/28/25,0900,1000,60,FALSE,,-
