project,date,arr. time,dep. time,sch. dur.,cancelled,cancelled on time,cancelled on,scan duration,charged time,direct scan fee
20240100H,06/06/25,900,1900,480,False,,-,600.0,8.0,2176.0
20240100H,06/07/25,1000,1100,60,False,,-,60.0,1.0,272.0
20230093H,06/09/25,1000,1215,105,False,,-,135.0,2.25,612.0
2022-0005,06/09/25,750,920,105,False,,-,90.0,1.75,476.0
20230093H,06/10/25,930,1200,150,False,,-,150.0,2.5,680.0
2022-0005,06/10/25,1200,1345,105,False,,-,105.0,1.75,476.0
20230093H,06/11/25,915,1145,150,False,,-,150.0,2.5,680.0
20230093H,06/12/25,915,1145,150,False,,-,150.0,2.5,680.0
2022-0005,06/12/25,1145,1245,105,True,True,task error - WSU issue,60.0,0.0,0.0
20230093H,06/13/25,915,1030,75,False,,-,75.0,1.25,340.0
20240100H,06/16/25,915,1900,480,False,,-,585.0,8.0,2176.0
20240100H,06/17/25,1015,1115,60,False,,-,60.0,1.0,272.0
20250044H,06/17/25,1245,1345,60,False,,-,60.0,1.0,272.0
20230093H,06/23/25,1000,1215,105,False,,-,135.0,2.25,612.0
20230093H,06/24/25,915,1145,150,False,,-,150.0,2.5,680.0
20230093H,06/25/25,915,1150,150,False,,-,165.0,2.75,748.0
20250044H,06/25/25,1510,1815,120,False,,-,195.0,3.25,884.0
20230093H,06/26/25,915,1150,150,False,,-,165.0,2.75,748.0
2022-0005,06/26/25,1245,1430,105,False,,-,105.0,1.75,476.0
20230093H,06/27/25,900,1020,75,False,,-,90.0,1.5,408.0
20250044H,06/28/25,900,1000,60,False,,-,60.0,1.0,272.0
