project,date,arr. time,dep. time,sch. dur.,cancelled,cancelled on time,cancelled on
20250044H,08/02/25,0900,1030,90,FALSE,,-
2022-0005,08/04/25,1300,1500,120,FALSE,,-
2024-663,08/04/25,0915,1030,60,FALSE,,-
20250044H,08/08/25,1000,1100,90,FALSE,,-
2024-663,08/08/25,1645,1745,60,FALSE,,-
20230093H,08/11/25,1052,1258,105,FALSE,,-
20230093H,08/12/25,1015,1300,150,FALSE,,-
20230093H,08/13/25,1016,1245,150,FALSE,,-
20230093H,08/14/25,1025,1300,150,FALSE,,-
20250044H,08/14/25,1400,1600,90,FALSE,,-
20230093H,08/15/25,1015,1130,75,FALSE,,-
20230093H,08/18/25,1015,1200,105,FALSE,,-
20230093H,08/19/25,0915,1145,150,FALSE,,-
20230093H,08/20/25,0845,1115,150,FALSE,,-
20230093H,08/21/25,0920,1200,150,FALSE,,-
20250044H,08/21/25,1400,1515,150,FALSE,,-
20230093H,08/22/25,0915,1030,75,FALSE,,-
20230093H,08/25/25,1145,1300,105,TRUE,FALSE,no show - cx @1145 8/25
20230093H,08/26/25,0915,1030,150,TRUE,FALSE,no show - cx @1145 8/25
